"player_name","player_height","gp","pts","reb","ast","net_rating","season"
"Luther Head",190.5,80,8.8,3.3,2.7,-0.8,"2005-06"
"Malik Allen",208.28,54,4.9,2.6,0.4,2.3,"2005-06"
"Marvin Williams",205.74,79,8.5,4.8,0.8,-2,"2005-06"
"Martynas Andriuskevicius",218.44,6,0,0.7,0,37.1,"2005-06"
"Martell Webster",200.66,61,6.6,2.1,0.6,-14.6,"2005-06"
"Marquis Daniels",198.12,62,10.2,3.6,2.8,5.8,"2005-06"
"Marko Jaric",200.66,75,7.8,3.1,3.9,0.8,"2005-06"
"Mark Madsen",205.74,62,1.2,2.3,0.2,-2.5,"2005-06"
"Maciej Lampe",210.82,6,0.7,1.5,0.3,-16.8,"2005-06"
"Mark Blount",213.36,81,11.3,4.5,1.2,-3.6,"2005-06"
"Marcus Fizer",203.2,3,6.7,2.3,0.3,-19.4,"2005-06"
"Marcus Camby",210.82,56,12.8,11.9,2.1,2.1,"2005-06"
"Marcus Banks",187.96,58,10,2.3,3.8,-4.3,"2005-06"
"Marc Jackson",208.28,64,6.5,3.4,0.7,-7.4,"2005-06"
"Manu Ginobili",198.12,65,15.1,3.5,3.6,12.1,"2005-06"
"Malik Rose",200.66,72,4.4,3.6,0.9,-12.9,"2005-06"
"Mario Kasun",215.9,28,2.9,2.1,0.1,-4.3,"2005-06"
"Laron Profit",195.58,25,4.2,1.7,0.6,-2.8,"2005-06"
"Lamond Murray",200.66,57,3.4,2.3,0.2,-4.3,"2005-06"
"Lamar Odom",208.28,80,14.8,9.2,5.5,3.6,"2005-06"
"Kareem Rush",198.12,47,10.1,2.2,1.1,-7.8,"2005-06"
"Juwan Howard",205.74,80,11.8,6.7,1.4,-5.6,"2005-06"
"Justin Reed",203.2,72,4.5,1.7,0.6,-6.4,"2005-06"
"Jumaine Jones",203.2,76,10.5,4.9,0.8,-6.1,"2005-06"
"Julius Hodge",200.66,14,0.9,0.5,0.4,-0.9,"2005-06"
"Juan Dixon",190.5,76,12.3,2.3,2,-11,"2005-06"
"Keith Bogans",195.58,72,8.6,3.5,1.8,-5.5,"2005-06"
"Josh Smith",205.74,80,11.3,6.6,2.4,-5.1,"2005-06"
"Josh Howard",200.66,59,15.6,6.3,1.9,8.9,"2005-06"
"Josh Davis",203.2,6,1,0.7,0.2,-44.7,"2005-06"
"Josh Childress",203.2,74,10,5.2,1.8,-3.4,"2005-06"
"Jose Calderon",190.5,64,5.5,2.2,4.5,-3.2,"2005-06"
"Jonathan Bender",213.36,2,5,2,1,-11.8,"2005-06"
"Howard Eisley",187.96,32,3.2,1,2.2,-8.1,"2005-06"
"Josh Powell",205.74,37,3,2.2,0.2,1.5,"2005-06"
"Keith McLeod",187.96,66,5.6,1.2,2.3,-6.3,"2005-06"
"Keith Van Horn",208.28,53,8.9,3.6,0.7,3.8,"2005-06"
"Kelvin Cato",210.82,27,3.6,2.6,0.1,-8.5,"2005-06"
"Kyle Korver",198.12,82,11.5,3.3,2,-1.4,"2005-06"
"Kwame Brown",210.82,72,7.4,6.6,1,2.9,"2005-06"
"Kurt Thomas",205.74,53,8.6,7.8,1.1,9.5,"2005-06"
"Kris Humphries",205.74,62,3,2.5,0.5,-10.5,"2005-06"
"Kobe Bryant",198.12,80,35.4,5.3,4.5,4.7,"2005-06"
"Kirk Snyder",198.12,68,8,2.4,1.5,1,"2005-06"
"Kirk Hinrich",190.5,81,15.9,3.6,6.3,0.5,"2005-06"
"Keyon Dooling",190.5,50,9.4,1.6,2.2,2.6,"2005-06"
"Kevin Ollie",187.96,70,2.7,1.4,1.4,-7.9,"2005-06"
"Kevin Martin",200.66,72,10.8,3.6,1.3,0.8,"2005-06"
"Kevin Garnett",210.82,76,21.8,12.7,4.1,0.8,"2005-06"
"Kevin Burleson",190.5,39,1.8,0.7,1.2,-0.9,"2005-06"
"Kenyon Martin",205.74,56,12.9,6.3,1.4,2.7,"2005-06"
"Kenny Thomas",200.66,82,9.1,7.5,2,-0.9,"2005-06"
"Kendrick Perkins",208.28,68,5.2,5.9,1,-1.8,"2005-06"
"Mateen Cleaves",187.96,27,2.7,0.5,1.6,-10,"2005-06"
"Matt Barnes",200.66,56,3.1,2.2,0.5,0.7,"2005-06"
"Matt Bonner",208.28,78,7.5,3.6,0.7,-3.8,"2005-06"
"Matt Carroll",198.12,78,7.6,2,0.4,-2.9,"2005-06"
"Rafael Araujo",210.82,52,2.3,2.8,0.3,-10.6,"2005-06"
"Raef LaFrentz",210.82,82,7.8,5,1.4,-1.4,"2005-06"
"Qyntel Woods",203.2,49,6.7,3.9,1,-4.7,"2005-06"
"Quinton Ross",198.12,67,4.7,2.5,1.2,5.5,"2005-06"
"Quentin Richardson",198.12,55,8.2,4.2,1.6,-10.5,"2005-06"
"Primoz Brezec",215.9,79,12.4,5.6,0.6,-8.9,"2005-06"
"Rafer Alston",187.96,63,12.1,4,6.7,-1.9,"2005-06"
"Peja Stojakovic",208.28,71,18.2,5.8,1.9,1.2,"2005-06"
"Paul Pierce",198.12,79,26.8,6.7,4.7,-0.9,"2005-06"
"Pau Gasol",213.36,80,20.4,8.9,4.6,4.6,"2005-06"
"Pat Garrity",205.74,57,4.9,1.9,0.7,-3.8,"2005-06"
"Pat Burke",210.82,42,3.4,1.7,0.4,-4.9,"2005-06"
"Pape Sow",208.28,42,3.5,3.5,0.2,-10.6,"2005-06"
"P.J. Brown",210.82,75,9,7.3,1.2,-4,"2005-06"
"Pavel Podkolzin",226.06,1,3,7,0,3.2,"2005-06"
"Raja Bell",195.58,79,14.7,3.2,2.6,7,"2005-06"
"Randy Holcomb",205.74,4,0.5,0.3,0,7,"2005-06"
"Randy Livingston",193.04,5,0,0.8,0.2,20,"2005-06"
"Ricky Davis",200.66,78,19.4,4.5,5.1,-1.2,"2005-06"
"Rick Brunson",193.04,27,2,0.8,1.3,-8.1,"2005-06"
"Richie Frahm",195.58,33,3.3,1,0.6,-3.8,"2005-06"
"Richard Jefferson",200.66,78,19.5,6.8,3.8,3.9,"2005-06"
"Richard Hamilton",200.66,80,20.1,3.2,3.4,9.2,"2005-06"
"Reggie Evans",203.2,67,5.6,7.5,0.6,-8.4,"2005-06"
"Reece Gaines",198.12,12,1.1,0,0.3,-19.7,"2005-06"
"Raymond Felton",185.42,80,11.9,3.3,5.6,-3.4,"2005-06"
"Ray Allen",195.58,78,25.1,4.3,3.7,-1.9,"2005-06"
"Rawle Marshall",200.66,23,3.1,1.3,0.4,-2,"2005-06"
"Rasual Butler",200.66,79,8.7,2.9,0.5,-2.1,"2005-06"
"Rasho Nesterovic",213.36,80,4.5,3.9,0.4,9.9,"2005-06"
"Rasheed Wallace",210.82,80,15.1,6.8,2.3,12,"2005-06"
"Rashard Lewis",208.28,78,20.1,5,2.3,-4.4,"2005-06"
"Rashad McCants",193.04,79,7.9,1.8,0.8,-3.6,"2005-06"
"Othella Harrington",205.74,72,4.8,2.1,0.5,1.2,"2005-06"
"Robert Swift",213.36,47,6.4,5.6,0.2,-4.3,"2005-06"
"Orien Greene",193.04,80,3.2,1.8,1.6,-4.3,"2005-06"
"Nikoloz Tskitishvili",213.36,17,2.1,1.3,0.2,-13.3,"2005-06"
"Michael Ruffin",203.2,76,1.4,3.6,0.4,-1,"2005-06"
"Michael Redd",198.12,80,25.4,4.3,2.9,0.3,"2005-06"
"Michael Olowokandi",213.36,48,5,4.6,0.5,-4.9,"2005-06"
"Michael Finley",200.66,77,10.1,3.2,1.5,6.3,"2005-06"
"Michael Doleac",210.82,31,3.2,2.7,0.3,-10.6,"2005-06"
"Michael Bradley",208.28,46,1.5,2.3,0.4,-8.1,"2005-06"
"Michael Sweetney",203.2,66,8.1,5.3,0.9,-1.5,"2005-06"
"Metta World Peace",200.66,56,17.6,5.1,3.6,8.2,"2005-06"
"Melvin Ely",208.28,57,9.8,4.9,1.3,-3.6,"2005-06"
"Mehmet Okur",210.82,82,18,9.1,2.4,-2.7,"2005-06"
"Maurice Taylor",205.74,67,6.3,3.4,0.8,-6.1,"2005-06"
"Maurice Evans",195.58,80,5,2,0.8,2.6,"2005-06"
"Matt Walsh",198.12,2,1,0,0,-140.5,"2005-06"
"Matt Harpring",200.66,71,12.5,5.2,1.4,-3.6,"2005-06"
"Melvin Sanders",195.58,16,2.6,1.4,0.2,-2.8,"2005-06"
"Mickael Pietrus",198.12,52,9.3,3.1,0.8,-6.5,"2005-06"
"Mike Bibby",187.96,82,21.1,2.9,5.4,2,"2005-06"
"Mike Dunleavy",205.74,81,11.5,4.9,2.9,-0.9,"2005-06"
"Nick Van Exel",185.42,65,5.5,1.4,1.9,0.1,"2005-06"
"Nick Collison",205.74,66,7.5,5.6,1.1,0.1,"2005-06"
"Nene",210.82,1,0,0,0,-96.1,"2005-06"
"Nenad Krstic",213.36,80,13.5,6.4,1.1,5.3,"2005-06"
"Nazr Mohammed",208.28,80,6.2,5.2,0.5,6.5,"2005-06"
"Nate Robinson",175.26,72,9.3,2.3,2,-3.3,"2005-06"
"Morris Peterson",200.66,82,16.8,4.6,2.3,-3.3,"2005-06"
"Moochie Norris",185.42,45,2.8,1.2,1.1,-8,"2005-06"
"Monta Ellis",190.5,49,6.8,2.1,1.6,-0.1,"2005-06"
"Mo Williams",185.42,58,12.1,2.5,4,-5,"2005-06"
"Milt Palacio",193.04,71,6.2,1.9,2.7,-4.7,"2005-06"
"Mikki Moore",213.36,47,3.3,2.8,0.6,-2.8,"2005-06"
"Mike Wilks",177.8,47,1.8,0.8,0.7,1.3,"2005-06"
"Mike Miller",203.2,74,13.7,5.4,2.7,1.5,"2005-06"
"Mike James",187.96,79,20.3,3.3,5.8,-2.3,"2005-06"
"Noel Felix",205.74,12,1.5,1.1,0.2,-4.5,"2005-06"
"Hedo Turkoglu",208.28,78,14.9,4.3,2.8,-1.6,"2005-06"
"John Thomas",205.74,16,0.9,1.3,0.1,-3.7,"2005-06"
"Ha Ha",220.98,27,1.6,1.8,0,-12.6,"2005-06"
"Brevin Knight",177.8,69,12.6,3.2,8.8,-5.3,"2005-06"
"Brent Barry",200.66,74,5.8,2.1,1.7,10.5,"2005-06"
"Brendan Haywood",213.36,79,7.3,5.9,0.6,2,"2005-06"
"Brandon Bass",203.2,29,2.3,2.3,0.1,-9.6,"2005-06"
"Brad Miller",213.36,79,15,7.8,4.7,3.5,"2005-06"
"Bracey Wright",190.5,7,8.9,2.6,0.7,-4.3,"2005-06"
"Bostjan Nachbar",205.74,36,4.4,1.7,0.8,-1.4,"2005-06"
"Boris Diaw",203.2,81,13.3,6.9,6.2,9.3,"2005-06"
"Brian Cardinal",203.2,36,3.4,1.5,0.9,6.7,"2005-06"
"Bonzi Wells",195.58,52,13.6,7.7,2.8,3.1,"2005-06"
"Bobby Simmons",198.12,75,13.4,4.4,2.3,0.4,"2005-06"
"Bobby Jackson",185.42,71,11.4,3.1,2.7,4.5,"2005-06"
"Bo Outlaw",203.2,32,2.3,2.4,0.4,-0.8,"2005-06"
"Billy Thomas",195.58,17,2.2,0.8,0.5,-3,"2005-06"
"Bernard Robinson",198.12,66,6.4,3.3,1.2,-2.9,"2005-06"
"Beno Udrih",190.5,54,5.1,1,1.7,4.7,"2005-06"
"Ben Wallace",205.74,82,7.3,11.3,1.9,11.2,"2005-06"
"Ben Gordon",190.5,80,16.9,2.7,3,1.6,"2005-06"
"Boniface Ndong",213.36,23,2.2,1.6,0.3,-14,"2005-06"
"Brian Cook",205.74,81,7.9,3.4,0.9,3.5,"2005-06"
"Brian Grant",205.74,21,2.9,2.7,0.3,-2,"2005-06"
"Brian Scalabrine",205.74,71,2.9,1.6,0.7,-2.1,"2005-06"
"Chris Duhon",185.42,74,8.7,3,5,-0.9,"2005-06"
"Chris Bosh",208.28,70,22.5,9.2,2.6,-1.3,"2005-06"
"Chris Andersen",208.28,32,5,4.8,0.2,-0.8,"2005-06"
"Chauncey Billups",190.5,81,18.5,3.1,8.6,10.5,"2005-06"
"Charlie Villanueva",210.82,81,13,6.4,1.1,-0.8,"2005-06"
"Charlie Bell",190.5,59,8.4,2,2.2,0.9,"2005-06"
"Charles Smith",193.04,22,3.6,0.7,0.4,-4.5,"2005-06"
"Channing Frye",210.82,65,12.3,5.8,0.8,-2.6,"2005-06"
"Caron Butler",200.66,75,17.6,6.2,2.5,1.1,"2005-06"
"Carmelo Anthony",203.2,80,26.5,4.9,2.7,1.1,"2005-06"
"Carlos Delfino",198.12,68,3.6,1.7,0.6,-4.8,"2005-06"
"Carlos Boozer",205.74,33,16.3,8.6,2.7,-3.2,"2005-06"
"Carlos Arroyo",187.96,77,5.8,1.7,3,2.2,"2005-06"
"Calvin Booth",210.82,33,1.4,1.6,0.4,-3.8,"2005-06"
"Calbert Cheaney",200.66,42,2.2,1.5,0.5,-12.5,"2005-06"
"CJ Miles",198.12,23,3.4,1.7,0.7,-4.5,"2005-06"
"Bryon Russell",200.66,1,0,1,1,60,"2005-06"
"Bruce Bowen",200.66,82,7.5,3.9,1.5,8.7,"2005-06"
"Brian Skinner",205.74,65,2.9,3.5,0.5,-10.5,"2005-06"
"Baron Davis",190.5,54,17.9,4.4,8.9,0.9,"2005-06"
"Chris Kaman",213.36,78,11.9,9.6,1,3.7,"2005-06"
"Awvee Storey",198.12,25,1.7,0.9,0.2,8.5,"2005-06"
"Arvydas Macijauskas",193.04,19,2.3,0.5,0.3,-10.8,"2005-06"
"Anderson Varejao",208.28,48,4.6,4.9,0.4,8,"2005-06"
"Amir Johnson",205.74,3,6.7,1.3,1,-24.1,"2005-06"
